"profile","group","percentile","n_control","n_treated","estimate","lower","upper","width","trial_estimate","trial_lower","trial_upper","trial_width","width_ratio","q","repetition","calibration","reference_disagreement","full_cohort_n_control","full_cohort_n_treated","supported"
"1.Missing:0.75","1.Missing",0.75,3,2,8.8547349765039,2.2377766727364,20.4635596484101,18.2257829756737,9.26936193298246,1.63119578992903,20.1371214569554,18.5059256670264,0.984862000615736,0.3,1,"lasso",-1.28373954849825,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,6,3,4.72324287518661,0.0734904806462582,10.6672332418475,10.5937427612012,4.35933092142915,0.154026022336731,9.93077215947828,9.77674613714155,1.0835652897804,0.3,1,"lasso",-3.87248206554687,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,6,3,5.98809205589252,0.988497513406062,12.2905920101498,11.3020944967437,5.74854014308715,1.03460523316332,11.2046696350985,10.1700644019352,1.11131002224461,0.3,1,"lasso",-4.21342442764917,18,9,TRUE
"1.1:0.25","1.1",0.25,83,60,5.2601694557198,-3.32045185723339,15.0429460485025,18.3633979057359,1.95804504919373,-4.06691770562556,12.1959352385932,16.2628529442188,1.12916214447255,0.4,1,"intercept",0.532874396915363,189,150,TRUE
"1.1:0.5","1.1",0.5,108,60,9.8193669573713,0.474190661659706,16.5264767920895,16.0522861304298,8.26092590546668,2.93002621803291,16.7109616693217,13.7809354512888,1.16481832363046,0.4,1,"intercept",-2.96475706231936,279,164,TRUE
"1.1:0.75","1.1",0.75,83,60,6.57417874069502,-0.25042662854799,17.2472429870955,17.4976696156434,6.7033822042244,1.39171600090331,17.4056743861889,16.0139583852855,1.09265112314275,0.4,1,"intercept",-3.56761512330315,189,150,TRUE
"2.1:0.25","2.1",0.25,98,70,17.1519679659541,10.0034689221973,22.7744148567062,12.7709459345089,16.6565663033761,10.2598676226639,21.1599542708408,10.900086648177,1.17163710222844,0.4,1,"intercept",3.76560743258328,261,180,TRUE
"2.1:0.5","2.1",0.5,98,70,18.6319203463634,12.0328015759372,25.2798574215372,13.2470558456,19.763298253697,14.8892890596662,25.9093940767232,11.0201050170569,1.20208072655353,0.4,1,"intercept",2.36381798496546,261,180,TRUE
"2.1:0.75","2.1",0.75,98,70,16.0322585100839,9.12319290786168,21.866649802719,12.7434568948573,18.1366995454905,11.6053700704681,24.026682175581,12.4213121051129,1.02593484384083,0.4,1,"intercept",-0.679653734928984,261,180,TRUE
"1.2:0.25","1.2",0.25,121,103,6.73077563519287,-1.58218204501334,17.6009356905327,19.1831177355461,4.32317354992241,-1.51327201189002,15.2628971436265,16.7761691555165,1.14347426743954,0.4,1,"intercept",0.177655368053021,303,251,TRUE
"1.2:0.5","1.2",0.5,121,103,8.5211220165291,0.929986570650109,20.3956950535292,19.4657084828791,7.63950188491969,2.26914953284714,18.9750786285578,16.7059290957106,1.16519759968795,0.4,1,"intercept",-0.882861809661197,303,251,TRUE
"1.2:0.75","1.2",0.75,121,103,6.47824383166277,-0.353790893410193,17.1661529872309,17.5199438806411,6.63338241208172,1.29383452482844,17.2934796890755,15.999645164247,1.09502077707269,0.4,1,"intercept",-3.66559256613742,303,251,TRUE
"2.2:0.25","2.2",0.25,7,8,17.9440740547197,10.908604884207,24.0217667293222,13.1131618451152,17.9625020112292,12.0824484889752,23.2589626638534,11.1765141748782,1.17327832631305,0.4,1,"intercept",3.52825884424606,26,22,TRUE
"2.2:0.5","2.2",0.5,110,90,17.0697954452314,11.7296286105093,30.3876302741364,18.6580016636272,18.7633022272198,13.6699597071271,31.5713708887998,17.9014111816727,1.04226429270163,0.4,1,"intercept",4.44359804394364,289,224,TRUE
"2.2:0.75","2.2",0.75,110,90,14.5704832560175,8.48094881434631,24.3819903419956,15.9010415276492,17.1073024542756,10.9436927879557,26.1372219476246,15.1935291596689,1.04656669036832,0.4,1,"intercept",1.65011275287953,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,4,6,4.87169264578379,-3.78001638073351,14.3672188167933,18.1472351975268,1.3332772840997,-4.74148059270673,11.3857619710168,16.1272425637236,1.12525344154908,0.4,1,"intercept",0.626699406267159,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,4,6,8.30489775547283,0.419161864089944,20.198419119712,19.779257255622,7.01493518474058,1.46698705701401,18.510757650318,17.043770593304,1.16049774005951,0.4,1,"intercept",-0.432756012490801,11,15,TRUE
"1.Missing:0.75","1.Missing",0.75,4,6,6.70103789644499,-0.113779160290114,17.3540442489743,17.4678234092644,6.79551591008247,1.52083818797548,17.5532849269348,16.0324467389594,1.08952948315849,0.4,1,"intercept",-3.43743662855716,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,5,4,14.9517848381102,9.55064011010433,27.66736836401,18.1167282539056,14.3823336299925,9.48183166212626,26.600037332646,17.1182056705197,1.05833103086882,0.4,1,"intercept",6.35605989737671,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,5,4,16.2323195107427,10.9860299439061,29.8479739224258,18.8619439785197,16.4528725399108,11.031123454002,29.5195604559136,18.4884370019116,1.02020219321782,0.4,1,"intercept",6.03080302720099,18,9,TRUE
"1.1:0.25","1.1",0.25,83,60,2.25459800582877,-3.87732359210872,12.0986959957137,15.9760195878224,2.142439113872,-4.11175690227618,12.2674953121499,16.3792522144261,0.975381499635953,0.4,1,"ridge",-2.47269705297567,189,150,TRUE
"1.1:0.5","1.1",0.5,108,60,8.16193704627771,2.54923047218414,16.1886438206933,13.6394133485092,8.34088352986697,2.99391181339717,16.7805884696642,13.786676656267,0.989318433192464,0.4,1,"ridge",-4.62218697341295,279,164,TRUE
"1.1:0.75","1.1",0.75,83,60,6.78459285429901,1.22106488307803,17.1562997728585,15.9352348897804,6.71877451359111,1.17287155090121,17.4422234884007,16.2693519374995,0.979463407700403,0.4,1,"ridge",-3.35720100969917,189,150,TRUE
"2.1:0.25","2.1",0.25,98,70,16.3507057563545,10.3332417534211,21.3212828991457,10.9880411457246,16.7374535927482,10.3572261297686,21.2682385779729,10.9110124482043,1.00705972043254,0.4,1,"ridge",2.96434522298365,261,180,TRUE
"2.1:0.5","2.1",0.5,98,70,19.3616688180927,14.6419188179897,25.8577921476882,11.2158733296985,19.7601634624549,14.9452263495591,25.9802914016793,11.0350650521202,1.01638488551942,0.4,1,"ridge",3.09356645669475,261,180,TRUE
"2.1:0.75","2.1",0.75,98,70,17.652069003594,11.9070403787651,24.0369583494711,12.129917970706,18.0991617793183,11.5510685136505,23.9916079825695,12.440539468919,0.975031508963972,0.4,1,"ridge",0.940156758581178,261,180,TRUE
"1.2:0.25","1.2",0.25,121,103,4.57191274495274,-1.44652901229927,14.9699328381539,16.4164618504531,4.45837782856015,-1.55560344511573,15.2160242716491,16.7716277167648,0.978823411042168,0.4,1,"ridge",-1.9812075221871,303,251,TRUE
"1.2:0.5","1.2",0.5,121,103,7.8013734041104,2.1537315760278,18.7143480025329,16.5606164265051,7.69406082426154,2.13494146594183,19.1969181046087,17.0619766386669,0.970615349980871,0.4,1,"ridge",-1.6026104220799,303,251,TRUE
"1.2:0.75","1.2",0.75,121,103,6.71218419557264,1.1399679173752,17.0725829037333,15.9326149863581,6.6479790064792,1.10437455604191,17.3345045665376,16.2301300104957,0.981668968520571,0.4,1,"ridge",-3.43165220222755,303,251,TRUE
"2.2:0.25","2.2",0.25,7,8,17.6287879565714,11.974653286478,23.3092753362161,11.3346220497381,18.015373285176,12.1702055775691,23.3567367061983,11.1865311286293,1.01323832378474,0.4,1,"ridge",3.21297274609772,26,22,TRUE
"2.2:0.5","2.2",0.5,110,90,18.6281078021583,13.5982115046634,31.0053514810477,17.4071399763843,18.7414183685588,13.6103047438482,31.7195727995535,18.1092680557053,0.961228246378528,0.4,1,"ridge",6.00191040087059,289,224,TRUE
"2.2:0.75","2.2",0.75,110,90,16.8983569726104,11.3557044915551,25.70838161163,14.3526771200749,17.0567235617486,11.5379808228635,26.0410527327936,14.5030719099301,0.989630142442291,0.4,1,"ridge",3.9779864694725,289,224,TRUE
"1.Missing:0.25","1.Missing",0.25,4,6,1.6424603155499,-4.52223690957133,11.3563166516271,15.8785535611984,1.53066504142835,-4.78698201775974,11.4971296816336,16.2841116993933,0.975094856527543,0.4,1,"ridge",-2.60253292396674,11,15,TRUE
"1.Missing:0.5","1.Missing",0.5,4,6,7.2019916712117,1.38855169886543,18.0096006077932,16.6210489089278,7.08987834751291,1.43251337295891,18.6683282616484,17.2358148886895,0.964332061829865,0.4,1,"ridge",-1.53566209675193,11,15,TRUE
"1.Missing:0.75","1.Missing",0.75,4,6,6.8799401328217,1.32798896286869,17.2747650389019,15.9467760760333,6.81198087129809,1.26308698398489,17.5872455261178,16.3241585421329,0.976881965148426,0.4,1,"ridge",-3.25853439218045,11,15,TRUE
"2.Missing:0.25","2.Missing",0.25,5,4,14.3799224700491,9.70282553235619,26.2924569689742,16.589631436618,14.477599833048,9.38785185173897,26.8195846649711,17.4317328132322,0.951691470627926,0.4,1,"ridge",5.78419752931557,18,9,TRUE
"2.Missing:0.5","2.Missing",0.5,5,4,16.4080996711041,11.3181260707511,29.0983378577618,17.7802117870106,16.5047794035438,10.9836462434676,29.7650357302134,18.7813894867458,0.946693097417435,0.4,1,"ridge",6.20658318756237,18,9,TRUE
"1.1:0.25","1.1",0.25,83,60,1.93890558252148,-4.28023164508612,11.6419135786241,15.9221452237102,2.142439113872,-4.11175690227618,12.2674953121499,16.3792522144261,0.9720923162589,0.4,1,"lasso",-2.78838947628295,189,150,TRUE
