"q","calibration","subgroup","metric","repetitions_recorded","repetitions_finite","median","p10","p90","full_30_repetitions"
0.4,"ridge","free_lunch_Missing","trial_estimate",1,1,9.44551249092995,9.44551249092995,9.44551249092995,FALSE
0.5,"intercept","free_lunch_1","trial_estimate",1,1,12.4833934359475,12.4833934359475,12.4833934359475,FALSE
0.5,"intercept","free_lunch_2","trial_estimate",1,1,11.7033940214854,11.7033940214854,11.7033940214854,FALSE
0.5,"intercept","free_lunch_Missing","trial_estimate",1,1,12.1613811143995,12.1613811143995,12.1613811143995,FALSE
0.5,"lasso","free_lunch_1","trial_estimate",1,1,12.4814589260081,12.4814589260081,12.4814589260081,FALSE
0.5,"lasso","free_lunch_2","trial_estimate",1,1,11.6993136817726,11.6993136817726,11.6993136817726,FALSE
0.5,"lasso","free_lunch_Missing","trial_estimate",1,1,12.1611795768635,12.1611795768635,12.1611795768635,FALSE
0.5,"ridge","free_lunch_1","trial_estimate",1,1,12.4814589260081,12.4814589260081,12.4814589260081,FALSE
0.5,"ridge","free_lunch_2","trial_estimate",1,1,11.6993136817726,11.6993136817726,11.6993136817726,FALSE
0.5,"ridge","free_lunch_Missing","trial_estimate",1,1,12.1611795768635,12.1611795768635,12.1611795768635,FALSE
0.1,"intercept","free_lunch_1","width_ratio",1,1,0.995332729854547,0.995332729854547,0.995332729854547,FALSE
0.1,"intercept","free_lunch_2","width_ratio",1,1,0.994794215853502,0.994794215853502,0.994794215853502,FALSE
0.1,"intercept","free_lunch_Missing","width_ratio",1,1,1.08318219822978,1.08318219822978,1.08318219822978,FALSE
0.1,"lasso","free_lunch_1","width_ratio",1,1,0.880368576908529,0.880368576908529,0.880368576908529,FALSE
0.1,"lasso","free_lunch_2","width_ratio",1,1,0.965655607871538,0.965655607871538,0.965655607871538,FALSE
0.1,"lasso","free_lunch_Missing","width_ratio",1,1,0.847944998172645,0.847944998172645,0.847944998172645,FALSE
0.1,"ridge","free_lunch_1","width_ratio",1,1,0.84314147151303,0.84314147151303,0.84314147151303,FALSE
0.1,"ridge","free_lunch_2","width_ratio",1,1,0.98291643895363,0.98291643895363,0.98291643895363,FALSE
0.1,"ridge","free_lunch_Missing","width_ratio",1,1,0.896699929378378,0.896699929378378,0.896699929378378,FALSE
0.2,"intercept","free_lunch_1","width_ratio",1,1,0.707379494092432,0.707379494092432,0.707379494092432,FALSE
0.2,"intercept","free_lunch_2","width_ratio",1,1,0.959608649430008,0.959608649430008,0.959608649430008,FALSE
0.2,"intercept","free_lunch_Missing","width_ratio",1,1,0.943458905717182,0.943458905717182,0.943458905717182,FALSE
0.2,"lasso","free_lunch_1","width_ratio",1,1,0.902161911696833,0.902161911696833,0.902161911696833,FALSE
0.2,"lasso","free_lunch_2","width_ratio",1,1,1.02255718478752,1.02255718478752,1.02255718478752,FALSE
0.2,"lasso","free_lunch_Missing","width_ratio",1,1,0.937921959172052,0.937921959172052,0.937921959172052,FALSE
0.2,"ridge","free_lunch_1","width_ratio",1,1,0.867572536843867,0.867572536843867,0.867572536843867,FALSE
0.2,"ridge","free_lunch_2","width_ratio",1,1,1.00642366047684,1.00642366047684,1.00642366047684,FALSE
0.2,"ridge","free_lunch_Missing","width_ratio",1,1,0.959485603241257,0.959485603241257,0.959485603241257,FALSE
0.3,"intercept","free_lunch_1","width_ratio",1,1,1.18642642360013,1.18642642360013,1.18642642360013,FALSE
